Problem,time,z3 Result
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0020.smt2,0.016423,unsat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0021.smt2,0.009287,sat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0022.smt2,0.009669,unsat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0024.smt2,0.025849,sat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0025.smt2,0.008231,unsat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0026.smt2,0.0155,unsat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0027.smt2,0.015733,sat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0028.smt2,0.028115,sat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0030.smt2,0.007624,unsat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0031.smt2,0.009299,sat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0033.smt2,0.03479,sat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0034.smt2,0.015037,unsat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0036.smt2,0.030951,sat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0037.smt2,0.020507,unsat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0038.smt2,0.009517,sat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0039.smt2,0.012742,unsat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0040.smt2,0.012253,unsat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0041.smt2,0.00909,unsat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0042.smt2,0.035861,sat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0043.smt2,0.005201,sat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0044.smt2,0.025279,sat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0045.smt2,0.010919,unsat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0046.smt2,0.011077,sat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0047.smt2,0.014981,unsat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0048.smt2,0.017713,sat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0049.smt2,0.032594,sat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0050.smt2,0.0289,sat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0051.smt2,0.012787,unsat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0053.smt2,0.010432,sat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0054.smt2,0.024764,unsat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0055.smt2,0.01086,sat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0056.smt2,0.022445,unsat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0058.smt2,0.016977,unsat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0059.smt2,0.008515,sat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0060.smt2,0.004765,unsat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0061.smt2,0.030683,sat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0062.smt2,0.012089,sat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0063.smt2,0.030796,sat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0064.smt2,0.007518,unsat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0065.smt2,0.013896,sat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0067.smt2,0.027527,sat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0068.smt2,0.011842,sat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0069.smt2,0.029668,sat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0070.smt2,0.007555,unsat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0071.smt2,0.021677,unsat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0072.smt2,0.011747,sat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0073.smt2,0.035785,sat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0074.smt2,0.003757,sat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0075.smt2,0.014173,unsat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0076.smt2,0.022813,sat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0077.smt2,0.010373,sat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0078.smt2,0.00868,unsat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0079.smt2,0.010778,sat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0080.smt2,0.016623,unsat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0082.smt2,0.028282,sat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0083.smt2,0.003589,sat
